Date;Heure;Periode;Lien;Titre;Type;Durée (Reels);Nb Image (Carrousel);Contenue;Collaboration;Vues;Vues Followers;Vues Non Followers;Nb Interaction;Likes;Commentaires;Partage;Enregistrement;Activté du Profil;Visites du profil;Followers en plus;Appuis sur des liens externes;Hashtags
2024-09-03;17:30;Avant Trail;https://www.instagram.com/p/C_dcj6qI47c/;Rentrée, il fuat reprendre les entrainements;Photo;;;Fact;Non;1712;1023,78;688,22;49,00;46;0;2;1;43;31;5;7;3
2024-09-06;07:30;Avant Trail;https://www.instagram.com/p/C_kGQG2opeW/;Augmenter son D+ à NDG;Photo;;;Fact;Non;1154;795,11;358,89;38,00;37;1;0;0;14;11;0;3;3
2024-09-07;16:05;Avant Trail;https://www.instagram.com/p/C_nl7zTM1jg/?img_index=1;Challenge Run. Heroes X MOE;Carrousel;;4;Jeu Concours;Non;2571;1090,10;1480,90;51,00;41;5;3;2;40;20;1;19;1
2024-09-09;19:25;Avant Trail;https://www.instagram.com/p/C_tGbyhsFNO/;Comprendre nos Tarifs;Photo;;;Information;Non;2312;1384,89;927,11;65,00;59;2;3;1;61;47;0;14;1
2024-09-10;10:49;Avant Trail;https://www.instagram.com/p/C_uwLQEMxgI/;Parcourez le Panier;Photo;;;Fact;Non;1725;900,45;824,55;50,00;45;1;4;0;25;19;2;4;2
2024-09-11;10:05;Avant Trail;https://www.instagram.com/p/C_xP8wss5hN/;J-60;Photo;;;Rappel;Non;4062;1486,69;2575,31;64,00;48;0;13;3;124;82;11;31;1
2024-09-12;;Avant Trail;https://www.instagram.com/p/C_zvRkGMvxb/;Reco Running Club Catalan;Reels;01:11;;Reco;Non;6330;3798,00;2532,00;148,00;127;3;13;5;23;;23;;2
2024-09-14;11:02;Avant Trail;https://www.instagram.com/p/C_5E28ks6DS/;Présentation de Malmousque;Photo;;;Présentation;Non;1458;978,32;479,68;32,00;30;0;2;0;25;16;4;5;2
2024-09-16;10:38;Avant Trail;https://www.instagram.com/p/C_-LwDyMt4d/;"Labellisé ""Grande Cause National""";Photo;;;Information;Non;1936;997,04;938,96;60,00;57;0;3;0;14;13;0;1;2
2024-09-17;;Avant Trail;https://www.instagram.com/p/DABB7plNpyz/;"Prochain defi ""MOE"" de sophiiemntt";Reels;01:50;;Collaboration Influenceur;Oui;6159;989,01;5169,99;159,00;146;10;0;3;0;;;;0
